"Date","Price","Open","High","Low","Vol.","Change %"
"01/17/2023","4.7600","4.7500","4.7900","4.6900","598.00K","0.21%"
"01/16/2023","4.7500","4.7400","4.8000","4.6500","1.55M","1.06%"
"01/13/2023","4.7000","4.7000","4.7500","4.5800","1.30M","-1.88%"
"01/12/2023","4.7900","4.7500","4.7900","4.7500","949.00K","0.84%"
"01/11/2023","4.7500","4.7800","4.7900","4.7300","1.03M","-0.21%"
"01/10/2023","4.7600","4.7800","4.7900","4.7200","538.00K","-0.42%"
"01/09/2023","4.7800","4.6700","4.7900","4.6700","2.65M","2.80%"
"01/06/2023","4.6500","4.7500","4.7500","4.6300","813.00K","-1.06%"
"01/05/2023","4.7000","4.7200","4.7500","4.6100","1.82M","-0.42%"
"01/04/2023","4.7200","4.7000","4.7700","4.6700","999.00K","0.43%"
"01/03/2023","4.7000","4.6700","4.7500","4.6700","1.09M","0.64%"
"12/29/2022","4.6700","4.6100","4.6700","4.6100","479.00K","0.86%"
"12/28/2022","4.6300","4.6300","4.6300","4.6100","937.00K","0.00%"
"12/27/2022","4.6300","4.6400","4.6400","4.5200","841.00K","0.00%"
"12/23/2022","4.6300","4.4700","4.6400","4.4700","905.00K","3.81%"
"12/22/2022","4.4600","4.3500","4.4800","4.3200","530.00K","2.76%"
"12/21/2022","4.3400","4.2400","4.5000","4.2200","541.00K","2.84%"
"12/20/2022","4.2200","4.2400","4.2400","4.2000","1.41M","0.00%"
"12/19/2022","4.2200","4.2400","4.3000","4.2000","409.00K","0.00%"
"12/16/2022","4.2200","4.2600","4.2600","4.2100","2.08M","-0.94%"
"12/15/2022","4.2600","4.2300","4.3000","4.2300","1.75M","0.00%"
"12/14/2022","4.2600","4.1800","4.2800","4.1800","2.64M","2.16%"
"12/13/2022","4.1700","4.1400","4.1800","4.1400","3.03M","0.97%"
"12/12/2022","4.1300","4.1000","4.1300","4.0900","701.00K","0.98%"
"12/09/2022","4.0900","4.0600","4.1000","4.0600","474.00K","0.49%"
"12/07/2022","4.0700","4.0700","4.0700","4.0100","187.00K","0.00%"
"12/06/2022","4.0700","4.0000","4.0800","4.0000","531.00K","1.75%"
"12/05/2022","4.0000","4.0000","4.0600","3.9900","5.93M","0.00%"
"12/02/2022","4.0000","4.0000","4.0100","3.9800","6.62M","0.25%"
"12/01/2022","3.9900","4.0100","4.0200","3.9900","8.44M","-0.25%"
"11/29/2022","4.0000","4.0400","4.0600","3.9900","8.74M","-0.99%"
"11/28/2022","4.0400","4.0600","4.1000","4.0100","7.87M","-0.49%"
"11/25/2022","4.0600","4.1000","4.1000","4.0500","1.02M","0.25%"
"11/24/2022","4.0500","4.0800","4.1400","4.0500","6.86M","0.00%"
"11/23/2022","4.0500","4.0700","4.0800","4.0400","2.66M","0.50%"
"11/22/2022","4.0300","4.0600","4.0700","4.0200","1.66M","0.75%"
"11/21/2022","4.0000","4.0500","4.0600","4.0000","5.30M","0.00%"
"11/18/2022","4.0000","4.0000","4.0500","4.0000","3.19M","0.00%"
"11/17/2022","4.0000","4.0000","4.0400","3.9900","3.55M","0.25%"
"11/16/2022","3.9900","4.0200","4.0500","3.9700","497.00K","0.50%"
"11/15/2022","3.9700","3.9900","4.0500","3.9700","1.28M","-1.73%"
"11/14/2022","4.0400","3.9300","4.0500","3.9300","246.00K","2.80%"
"11/11/2022","3.9300","4.0000","4.0100","3.9300","752.00K","-0.51%"
"11/10/2022","3.9500","3.9800","3.9800","3.9300","1.52M","-0.75%"
"11/09/2022","3.9800","3.9100","3.9900","3.9000","207.00K","1.53%"
"11/08/2022","3.9200","3.9400","3.9700","3.9200","487.00K","-0.51%"
"11/07/2022","3.9400","4.0000","4.0000","3.9200","290.00K","0.00%"
"11/04/2022","3.9400","3.9400","3.9500","3.9200","86.00K","0.00%"
"11/03/2022","3.9400","3.9400","3.9400","3.8900","162.00K","-0.76%"
"11/02/2022","3.9700","3.9500","4.0100","3.9300","1.65M","0.51%"
"10/28/2022","3.9500","3.9700","3.9900","3.9400","1.40M","-0.50%"
"10/27/2022","3.9700","3.9400","4.0000","3.9300","693.00K","0.00%"
"10/26/2022","3.9700","3.9900","3.9900","3.9500","258.00K","0.51%"
"10/25/2022","3.9500","3.9500","3.9500","3.8900","618.00K","0.25%"
"10/24/2022","3.9400","4.0200","4.0200","3.9400","834.00K","-1.99%"
"10/21/2022","4.0200","4.0000","4.0300","3.9700","38.00K","0.50%"
"10/20/2022","4.0000","4.0000","4.0000","3.9700","723.00K","0.25%"
"10/19/2022","3.9900","3.9500","4.0800","3.9400","534.00K","-0.25%"
"10/18/2022","4.0000","4.0500","4.0500","3.9800","260.00K","-1.23%"
"10/17/2022","4.0500","4.0600","4.0600","3.9000","97.00K","1.25%"
"10/14/2022","4.0000","4.0000","4.0500","3.9800","1.03M","0.00%"
"10/13/2022","4.0000","4.0800","4.0800","3.9500","355.00K","0.25%"
"10/12/2022","3.9900","4.1200","4.1200","3.9400","531.00K","-1.24%"
"10/11/2022","4.0400","4.1400","4.1400","3.9000","119.00K","1.00%"
"10/10/2022","4.0000","4.2000","4.2000","4.0000","37.00K","-2.44%"
"10/07/2022","4.1000","3.9800","4.1000","3.8800","108.00K","3.27%"
"10/06/2022","3.9700","4.0000","4.0500","3.9300","129.00K","-0.75%"
"10/05/2022","4.0000","4.0000","4.1000","3.9000","857.00K","0.00%"
"10/04/2022","4.0000","3.9100","4.0000","3.9100","29.00K","1.78%"
"10/03/2022","3.9300","3.9300","4.0400","3.9000","944.00K","0.00%"
"09/30/2022","3.9300","3.9300","3.9400","3.8000","371.00K","0.00%"
"09/29/2022","3.9300","3.8500","3.9600","3.8000","170.00K","3.42%"
"09/28/2022","3.8000","3.8500","3.9600","3.8000","1.28M","-1.30%"
"09/27/2022","3.8500","3.9300","4.0100","3.8500","1.32M","-2.04%"
"09/23/2022","3.9300","3.9700","4.1000","3.9000","313.00K","-1.75%"
"09/22/2022","4.0000","4.0300","4.1000","3.8400","2.14M","-0.50%"
"09/21/2022","4.0200","4.1200","4.2000","4.0000","863.00K","-2.43%"
"09/20/2022","4.1200","4.1700","4.1700","4.1000","352.00K","0.49%"
"09/19/2022","4.1000","4.3200","4.3200","4.0900","1.09M","-2.38%"
"09/16/2022","4.2000","4.3200","4.3200","4.2000","685.00K","-2.10%"
"09/15/2022","4.2900","4.2900","4.3400","4.2900","89.00K","0.00%"
"09/14/2022","4.2900","4.3000","4.3000","4.2500","741.00K","-0.46%"
"09/13/2022","4.3100","4.3300","4.3300","4.2900","130.00K","-0.46%"
"09/12/2022","4.3300","4.3000","4.3300","4.2900","163.00K","0.70%"
"09/09/2022","4.3000","4.2900","4.3000","4.2900","89.00K","0.00%"
"09/08/2022","4.3000","4.2900","4.3000","4.2800","377.00K","-0.46%"
"09/07/2022","4.3200","4.3500","4.3600","4.3000","728.00K","-0.69%"
