"Date","Price","Open","High","Low","Vol.","Change %"
"12/14/2022","6.600","6.600","6.600","6.600","0.10K","0.00%"
"12/13/2022","6.600","6.600","6.700","6.600","2.30K","-1.49%"
"12/09/2022","6.700","6.800","6.800","6.700","0.60K","0.00%"
"12/07/2022","6.700","6.720","7.230","6.700","52.30K","-0.30%"
"12/06/2022","6.720","6.710","6.720","6.710","0.30K","-7.18%"
"12/05/2022","7.240","7.240","7.240","7.000","2.00K","-0.14%"
"12/02/2022","7.250","7.000","7.250","7.000","18.00K","3.72%"
"12/01/2022","6.990","6.900","6.990","6.800","18.20K","1.30%"
"11/29/2022","6.900","6.900","6.900","6.900","1.40K","-1.43%"
"11/28/2022","7.000","6.800","7.000","6.800","97.90K","-2.78%"
"11/25/2022","7.200","7.200","7.200","7.200","51.30K","-0.41%"
"11/24/2022","7.230","7.240","7.240","7.230","5.10K","0.42%"
"11/23/2022","7.200","7.240","7.240","7.200","0.30K","2.86%"
"11/22/2022","7.000","7.000","7.000","6.800","54.10K","0.00%"
"11/21/2022","7.000","7.000","7.230","7.000","0.60K","0.00%"
"11/18/2022","7.000","7.000","7.000","7.000","2.10K","0.00%"
"11/17/2022","7.000","7.000","7.000","7.000","1.80K","-0.14%"
"11/16/2022","7.010","7.010","7.010","7.010","0.30K","-3.31%"
"11/15/2022","7.250","7.200","7.390","7.000","8.30K","0.00%"
"11/14/2022","7.250","7.250","7.300","7.250","75.10K","0.28%"
"11/11/2022","7.230","6.500","7.230","6.500","50.70K","12.97%"
"11/10/2022","6.400","6.400","6.400","6.400","0.60K","0.63%"
"11/09/2022","6.360","6.500","6.500","6.200","22.60K","0.16%"
"11/08/2022","6.350","6.350","6.350","6.350","0.30K","-2.31%"
"11/07/2022","6.500","6.500","6.500","6.500","0.20K","0.00%"
"11/04/2022","6.500","6.500","6.800","6.500","6.10K","-2.84%"
"11/03/2022","6.690","6.800","6.800","6.200","10.40K","-2.90%"
"11/02/2022","6.890","6.790","6.890","6.790","2.80K","-1.43%"
"10/28/2022","6.990","6.990","6.990","6.990","0.10K","11.84%"
"10/27/2022","6.250","6.200","6.700","6.200","3.10K","0.81%"
"10/26/2022","6.200","6.200","6.200","6.150","28.10K","-4.62%"
"10/25/2022","6.500","6.500","6.500","6.500","0.80K","3.17%"
"10/24/2022","6.300","6.300","6.300","6.300","3.40K","0.00%"
"10/21/2022","6.300","6.310","6.310","6.300","1.00K","0.00%"
"10/20/2022","6.300","6.400","6.400","6.300","6.80K","-1.56%"
"10/19/2022","6.400","6.250","6.850","6.250","7.00K","-7.25%"
"10/18/2022","6.900","6.700","6.900","6.700","3.50K","2.99%"
"10/17/2022","6.700","6.700","6.700","6.700","0.90K","-4.15%"
"10/14/2022","6.990","7.150","7.200","6.990","32.40K","-2.92%"
"10/13/2022","7.200","7.250","7.250","7.150","3.20K","-0.69%"
"10/12/2022","7.250","6.070","7.500","6.070","17.30K","8.21%"
"10/11/2022","6.700","6.700","6.700","6.700","5.20K","0.00%"
"10/10/2022","6.700","6.500","6.700","6.500","4.20K","3.08%"
"10/07/2022","6.500","6.500","6.900","6.500","6.90K","8.33%"
"10/06/2022","6.000","6.890","6.890","6.000","17.80K","-12.92%"
"10/04/2022","6.890","6.900","6.900","6.890","1.70K","2.07%"
"10/03/2022","6.750","6.750","6.750","6.740","3.80K","0.00%"
"09/29/2022","6.750","6.900","6.900","6.750","8.30K","-2.17%"
"09/28/2022","6.900","6.810","7.250","6.810","0.80K","-1.43%"
"09/27/2022","7.000","7.000","7.250","7.000","3.50K","0.00%"
"09/23/2022","7.000","6.900","7.000","6.900","8.50K","0.00%"
"09/22/2022","7.000","7.250","7.250","7.000","1.90K","-3.45%"
"09/21/2022","7.250","7.340","7.340","6.940","6.10K","4.17%"
"09/20/2022","6.960","7.300","7.340","6.940","11.80K","-4.66%"
"09/19/2022","7.300","7.000","7.300","6.940","31.20K","4.29%"
"09/16/2022","7.000","7.000","7.200","7.000","7.30K","0.43%"
"09/15/2022","6.970","7.200","7.200","6.970","2.50K","0.00%"
"09/14/2022","6.970","7.050","7.100","6.970","11.20K","-1.83%"
"09/13/2022","7.100","7.060","7.100","7.060","42.30K","0.71%"
"09/12/2022","7.050","7.030","7.060","7.030","49.00K","0.28%"
"09/09/2022","7.030","7.030","7.030","7.030","18.50K","0.00%"
"09/08/2022","7.030","7.110","7.110","7.030","25.20K","0.00%"
"09/07/2022","7.030","7.030","7.030","7.030","18.50K","-3.30%"
"09/06/2022","7.270","7.000","7.270","7.000","16.80K","-0.14%"
"09/02/2022","7.280","7.290","7.290","7.280","4.70K","0.00%"
"09/01/2022","7.280","7.280","7.290","7.050","13.20K","0.00%"
"08/31/2022","7.280","7.320","7.320","7.000","8.10K","-0.68%"
"08/30/2022","7.330","7.330","7.340","7.000","3.60K","0.00%"
"08/26/2022","7.330","7.340","7.340","7.000","6.70K","0.83%"
"08/25/2022","7.270","6.990","7.350","6.820","41.60K","6.60%"
"08/24/2022","6.820","7.000","7.000","6.820","49.30K","-2.57%"
"08/23/2022","7.000","7.450","7.450","6.810","39.50K","-6.04%"
"08/22/2022","7.450","7.550","7.550","7.450","16.20K","-1.32%"
"08/19/2022","7.550","7.480","7.680","7.450","46.90K","1.48%"
"08/18/2022","7.440","7.200","7.450","7.200","44.60K","3.33%"
"08/17/2022","7.200","6.850","7.200","6.850","33.20K","5.57%"
"08/16/2022","6.820","6.600","6.870","6.600","28.80K","3.33%"
"08/15/2022","6.600","6.550","6.600","6.350","54.70K","4.76%"
"08/12/2022","6.300","6.600","6.600","6.230","4.40K","-4.55%"
"08/11/2022","6.600","6.340","6.700","6.230","36.00K","4.10%"
"08/10/2022","6.340","6.340","6.340","6.230","0.30K","0.00%"
"08/09/2022","6.340","6.340","6.340","6.330","7.30K","2.26%"
"08/08/2022","6.200","6.350","6.350","6.200","1.40K","-3.43%"
"08/05/2022","6.420","6.260","6.470","6.230","35.90K","-1.23%"
